,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20230714,122600,132000,106100,114600,4016947,2.02
1,20230717,99100,101900,86900,89000,912053,1.94
2,20230718,87700,110800,84300,98600,2257069,1.67
3,20230719,95900,101600,90800,91300,484552,1.72
4,20230720,95600,104500,93100,93200,572018,1.55
5,20230721,89800,91600,88200,89200,184484,1.51
6,20230724,89000,89100,81400,82000,299927,1.5
7,20230725,80100,84400,78600,80000,238109,1.33
8,20230726,82400,82500,69900,69900,245064,1.33
9,20230727,68000,71300,61500,63000,411789,2.89
10,20230728,63900,66900,61600,64700,127660,2.92
11,20230731,64500,69700,62100,65200,188464,2.47
12,20230801,67300,74600,67000,69000,570946,1.6
13,20230802,67600,68100,64000,64000,135493,1.55
14,20230803,65300,65500,63000,64600,86389,1.48
15,20230804,64500,64500,61500,61500,103856,1.32
16,20230807,61700,61700,56800,57000,111945,1.18
17,20230808,57400,57600,53000,53800,138413,1.07
18,20230809,53500,56400,52000,55200,88201,1.05
19,20230810,54700,55900,53200,55800,63411,1.05
20,20230811,57400,59300,55500,59000,181363,0.89
21,20230814,55000,55900,50200,51400,440355,0.26
22,20230816,50500,56400,50200,53000,444428,0.27
23,20230817,52200,53800,51600,53300,159539,0.36
24,20230818,52600,53100,50400,50500,151904,0.15
25,20230821,50000,52000,50000,50700,100403,0.36
26,20230822,51700,56700,51000,56700,354588,0.92
27,20230823,56700,56800,53600,54300,141505,0.92
