,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20230728,42400,53700,29700,30000,2897986,1.39
1,20230731,34000,39000,32500,39000,980970,1.4
2,20230801,50700,50700,43100,45450,2981025,1.28
3,20230802,48950,59000,48100,59000,1778458,1.57
4,20230803,64600,74100,57700,62500,2890817,1.31
5,20230804,63600,66300,50700,55000,1355779,1.28
6,20230807,52900,53100,45500,46850,677721,1.39
7,20230808,45000,55600,44450,46050,2280209,1.68
8,20230809,45100,49000,43550,45050,863321,1.54
9,20230810,46800,47600,41150,41650,725773,1.31
10,20230811,40700,42050,39750,41000,474258,1.6
11,20230814,40100,41400,39000,39050,260818,1.54
12,20230816,38150,38550,36050,37400,316451,2.11
13,20230817,36700,36800,33800,36000,394843,1.93
14,20230818,34650,36500,33400,34000,480185,1.38
15,20230821,33150,35950,33050,33750,296521,1.56
16,20230822,33650,33700,31350,31350,280647,1.57
17,20230823,31150,32600,30650,30950,233049,1.57
