,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20190807,11346,11485,10852,11112,592824,0.71
1,20190808,11208,11643,11208,11605,407729,0.66
2,20190809,11624,11858,11503,11645,360897,0.32
3,20190812,11521,11521,11243,11370,233465,0.23
4,20190813,11285,11285,10951,11034,235579,0.21
5,20190814,11129,11147,10812,11014,223263,0.14
6,20190816,10757,10854,10618,10837,203012,0.08
7,20190819,11030,14070,10911,13698,5783427,0.07
8,20190820,13396,14898,13221,13698,6264585,0.04
9,20190821,13636,14580,13476,13935,3052875,0.02
10,20190822,13933,14270,13439,13462,1878759,0.05
11,20190823,13439,14051,13300,13738,1443419,0.02
12,20190826,13615,14209,12964,13106,1425796,0.02
13,20190827,13358,14462,13178,13343,3355891,0.04
14,20190828,13358,13852,13340,13521,927934,0.08
15,20190829,13637,14090,13498,13718,1602734,0.02
16,20190830,13833,14329,13812,14152,1652505,0.09
17,20190902,13951,14267,13418,14013,1080101,0.07
18,20190903,15019,15294,13046,13164,5056867,0.03
19,20190904,12927,13123,12611,12830,1172959,0.02
20,20190905,13258,13340,12867,12929,924429,0.04
21,20190906,12889,13007,12649,12830,380276,0.02
22,20190909,12843,12863,12526,12535,396881,0.05
23,20190910,12568,12727,12334,12375,271380,0.13
24,20190911,12252,12725,12252,12633,286040,0.1
25,20190916,12451,12528,12274,12434,176924,0.16
26,20190917,12254,12373,12136,12237,237759,0.18
27,20190918,12174,12352,12156,12237,160565,0.17
28,20190919,12255,12373,12157,12178,159622,0.05
29,20190920,12074,13278,12074,12515,1012557,0.06
30,20190923,12449,12686,12334,12535,258839,0.08
31,20190924,12430,12865,12392,12593,271332,0.06
32,20190925,12527,12825,12372,12375,226100,0.05
33,20190926,12429,12509,12156,12237,153383,0.06
34,20190927,12076,12451,12076,12434,156572,0.07
35,20190930,12334,12450,12036,12317,144603,0.1
36,20191001,12117,12277,12040,12138,150629,0.06
37,20191002,11956,12113,11956,12060,147318,0.07
38,20191004,11997,12334,11900,12198,176579,0.06
39,20191007,12097,12372,11976,11981,237222,0.08
40,20191008,11901,12215,11880,12120,170625,0.08
41,20191010,12040,12511,11978,12138,307154,0.07
42,20191011,12174,12825,12095,12396,389481,0.09
43,20191014,12509,12823,12409,12671,399580,0.1
44,20191015,13220,13241,12667,12711,585651,0.07
45,20191016,12907,12907,12650,12851,230539,0.07
46,20191017,12826,13459,12631,12888,461756,0.08
47,20191018,12787,12985,12648,12790,179219,0.07
48,20191021,12568,12825,12429,12553,161115,0.07
49,20191022,12509,12609,12213,12218,250556,0.08
50,20191023,12137,12353,12057,12158,165489,0.13
51,20191024,12175,12252,11818,12060,184905,0.09
52,20191025,11938,12036,11855,11961,115005,0.07
53,20191028,11917,12825,11858,12237,510969,0.05
54,20191029,12313,12787,12115,12237,398403,0.06
55,20191030,12215,12688,12176,12277,426307,0.05
56,20191031,12351,12683,12272,12691,335908,0.07
57,20191101,12807,12907,12570,12851,366276,0.1
58,20191104,12967,13322,12730,12988,679818,0.13
59,20191105,13160,13378,12805,13225,941811,0.23
60,20191106,13316,13316,12390,12691,645514,0.15
61,20191107,12725,14187,12391,12651,7012084,0.34
62,20191108,12944,15748,12471,14112,15659741,0.26
63,20191111,14149,15021,13439,14152,10434006,0.18
64,20191112,14444,18393,14169,18396,28856572,0.12
65,20191113,19713,19733,15687,15790,16626421,0.05
66,20191114,15630,15767,14503,14645,4512373,0.05
67,20191115,14404,15531,14309,14428,5673634,0.05
68,20191118,14327,14561,13913,13996,1325550,0.35
69,20191119,13993,14072,13481,13561,1215824,0.68
70,20191120,13535,15472,13278,13659,16587261,0.24
71,20191121,13970,14861,13340,13521,4411174,0.06
72,20191122,13616,13930,12667,12732,1748303,0.04
73,20191125,13161,13300,12806,12868,790258,0.04
74,20191126,12787,13790,12766,13343,3950947,0.08
75,20191127,13949,14050,13219,13225,1890822,0.03
76,20191128,13159,13730,13061,13245,1766213,0.04
77,20191129,13064,13321,12827,12851,538787,0.07
78,20191202,12707,13024,12352,12355,523845,0.06
79,20191203,12117,12472,12058,12120,383325,0.15
