,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20201029,3339,4290,3252,3815,90842515,0.13
1,20201030,4040,4377,3489,3602,33581793,0.16
2,20201102,3589,3965,3489,3690,14061060,0.11
3,20201103,3727,3927,3639,3665,9382902,0.12
4,20201104,3727,4753,3714,4753,41234373,0.11
5,20201105,5203,6178,5153,6179,21975905,0.11
6,20201106,7104,7804,6016,6442,31224808,0.12
7,20201109,7367,7392,6103,6554,9792103,0.12
8,20201110,6253,7267,5465,6442,17823594,0.18
9,20201111,6379,6729,5753,5816,5678971,0.15
10,20201112,5728,6078,5503,5516,4179126,0.11
11,20201113,5403,5403,4890,5091,3115944,0.1
12,20201116,5190,5978,5028,5579,10204701,0.1
13,20201117,5353,5353,5003,5153,2749816,0.1
14,20201118,5053,5465,5028,5291,2367215,0.1
15,20201119,5315,5553,5290,5391,2078430,0.1
16,20201120,5403,5578,5140,5366,1314275,0.1
17,20201123,5403,5803,5178,5566,1834613,0.1
18,20201124,5566,6366,5440,5754,10329718,0.1
19,20201125,5828,7029,5766,6929,30099613,0.12
20,20201126,7029,8380,6879,7580,46334335,0.14
21,20201127,7604,7667,7104,7205,6164395,0.18
22,20201130,7117,7142,6479,6617,6528724,0.13
23,20201201,6516,6716,6241,6467,7699250,4.02
24,20201202,6554,6954,6541,6654,10002225,0.97
25,20201203,6554,6866,6329,6729,3323309,1.13
26,20201204,6766,6916,6604,6667,2687056,1.33
27,20201207,6604,6816,6491,6604,1508188,1.33
28,20201208,6579,6766,6253,6254,2230693,1.34
29,20201209,6253,6379,6028,6079,1219719,1.63
30,20201210,6091,6666,6078,6467,2376689,1.67
31,20201211,6391,6504,6291,6304,875065,1.77
32,20201214,6228,6228,6053,6054,828934,1.71
33,20201215,6116,6716,5878,6241,3349692,1.53
34,20201216,6341,6641,6241,6567,2811977,1.52
35,20201217,6679,6679,6316,6317,1570312,1.54
36,20201218,6329,6379,6228,6229,630752,1.54
37,20201221,6228,6228,6028,6079,760150,1.65
38,20201222,6003,6116,5891,5891,835926,1.74
39,20201223,5891,5928,5628,5641,753830,1.71
40,20201224,5616,5878,5453,5666,763048,1.61
41,20201228,5578,5941,5553,5641,409097,1.58
42,20201229,5666,5828,5641,5754,359004,1.58
43,20201230,5866,6879,5691,6191,10171742,0.97
44,20210104,6341,6491,6191,6279,1903385,0.41
45,20210105,6504,6704,6379,6554,3564260,0.27
46,20210106,6629,6654,6241,6266,1489595,0.26
47,20210107,6429,7317,6341,6842,25417442,0.21
48,20210108,6841,6841,6354,6617,2835362,0.05
49,20210111,6466,6479,6166,6216,1353106,0.22
50,20210112,6153,6203,5953,5966,882189,0.13
51,20210113,5916,6554,5916,6329,1715208,0.4
52,20210114,6203,6554,6128,6454,1199367,0.12
53,20210115,6479,6904,6429,6604,4776535,0.31
54,20210118,6629,6829,6354,6667,1913567,0.19
55,20210119,6704,6904,6529,6529,1690568,0.18
56,20210120,6629,6641,6278,6329,1075534,0.2
57,20210121,6341,6429,6166,6392,1185144,0.25
58,20210122,6391,6441,6228,6329,972883,0.19
59,20210125,6529,6879,6466,6867,5216748,0.17
60,20210126,7229,7542,6516,6554,13176217,0.07
61,20210127,6454,6591,6341,6342,1824707,0.09
62,20210128,6203,6316,6003,6029,1363571,0.14
63,20210129,6041,6303,5953,6179,957085,0.16
64,20210201,6253,6429,6028,6229,755545,0.06
65,20210202,6228,6379,6166,6291,560061,0.1
66,20210203,6329,6354,6203,6229,419274,0.09
67,20210204,6291,6291,6028,6066,484625,0.12
68,20210205,6066,6091,5828,5879,1103388,0.1
69,20210208,5866,5866,5703,5754,415872,0.11
70,20210209,5753,5928,5753,5879,260399,0.14
71,20210210,5866,5978,5778,5904,227959,0.06
72,20210215,5878,5903,5766,5779,322939,0.08
73,20210216,5853,5853,5666,5704,445673,0.11
74,20210217,5728,5766,5541,5566,381426,0.09
75,20210218,5566,5641,5378,5428,593156,0.15
76,20210219,5353,5478,5190,5316,439857,0.17
77,20210222,5403,5478,5278,5416,304531,0.12
78,20210223,5390,5440,5165,5203,273239,0.11
79,20210224,5153,5190,4878,4916,620942,0.13
80,20210225,4978,5128,4915,5078,274414,0.17
81,20210226,5003,5003,4778,4841,301901,0.16
82,20210302,5015,5165,4928,5066,239376,0.17
83,20210303,5003,5803,5003,5416,948634,0.1
84,20210304,5415,5716,5303,5641,402137,0.08
85,20210305,5616,5853,5440,5629,384444,0.07
86,20210308,5691,5816,5628,5629,270724,0.07
87,20210309,5541,5591,5303,5516,208628,0.07
88,20210310,5553,5628,5278,5378,150277,0.08
89,20210311,5290,5353,5228,5291,155677,0.12
90,20210312,5290,5453,5203,5366,185179,0.12
91,20210315,5365,5490,5290,5403,111885,0.11
92,20210316,5403,5515,5403,5428,146159,0.09
93,20210317,5390,5703,5390,5666,388674,0.09
94,20210318,5666,5941,5666,5741,559401,0.14
95,20210319,5741,6103,5378,6104,890415,0.18
96,20210322,6141,6879,5553,6304,10389340,0.41
97,20210323,6216,6266,5791,5866,1238499,0.44
98,20210324,5841,5916,5603,5816,662012,0.43
99,20210325,5716,5828,5678,5779,437131,0.5
100,20210326,5703,5916,5678,5891,294014,0.46
101,20210329,5903,6203,5903,5966,1022616,0.34
102,20210330,5966,6128,5878,6041,625927,0.17
103,20210331,6003,6053,5841,5841,395145,0.07
104,20210401,6028,6028,5515,5554,929854,0.04
105,20210402,5553,5728,5503,5554,250833,0.07
106,20210405,5578,5678,5390,5466,277184,0.04
107,20210406,5465,5528,5365,5391,242102,0.08
108,20210407,5378,5641,5378,5541,234227,0.08
109,20210408,5541,5616,5453,5478,196256,0.12
110,20210409,5478,5541,5465,5478,147091,0.15
111,20210412,5465,5528,5440,5441,176668,0.13
112,20210413,5378,5716,5378,5529,408661,0.12
113,20210414,5641,5641,5528,5529,142590,0.08
114,20210415,5553,5591,5440,5453,211982,0.06
115,20210416,5478,5490,5403,5441,211662,0.11
116,20210419,5490,5553,5440,5453,196184,0.13
117,20210420,5453,5490,5403,5416,197974,0.16
118,20210421,5440,5553,5353,5416,275485,0.16
119,20210422,5465,5553,5353,5378,238317,0.18
120,20210423,5378,5503,5353,5441,238181,0.28
121,20210426,5415,5490,5328,5328,270568,0.19
122,20210427,5390,5390,5228,5228,285171,0.11
123,20210428,5240,5253,4990,5091,292519,0.17
124,20210429,5015,5165,5003,5016,204554,0.17
125,20210430,4990,5140,4928,4953,188225,0.23
126,20210503,5003,5103,4953,4978,144944,0.19
127,20210504,4953,5078,4940,4953,105809,0.16
128,20210506,4953,4990,4903,4928,122838,0.18
129,20210507,4928,5415,4878,5291,622086,0.21
130,20210510,5290,5315,5178,5191,155274,0.2
131,20210511,5128,5153,5003,5103,239304,0.12
132,20210512,5103,5140,4940,4978,115879,0.11
133,20210513,4853,5040,4778,4941,143073,0.16
134,20210514,4978,5053,4853,4866,122215,0.15
135,20210517,4865,4915,4778,4803,112880,0.15
136,20210518,4803,4978,4702,4928,187429,0.18
137,20210520,4953,4965,4803,4816,123654,0.18
138,20210521,4828,4878,4803,4803,49708,0.16
139,20210524,4803,4815,4627,4628,142989,0.14
140,20210525,4590,4840,4577,4791,134263,0.15
141,20210526,4765,4878,4702,4778,89351,0.15
142,20210527,4840,4878,4740,4866,106081,0.14
143,20210528,4865,4903,4815,4891,99829,0.14
144,20210531,4903,4953,4890,4941,51755,0.15
145,20210601,4940,5190,4940,5128,341340,0.17
146,20210602,5228,5240,5015,5053,142442,0.11
147,20210603,5078,5140,4990,5003,185155,0.11
148,20210604,5003,5103,4990,5016,95939,0.1
149,20210607,4953,5028,4903,4991,149929,0.11
150,20210608,4978,5040,4928,4966,119568,0.13
151,20210609,4965,5053,4965,4978,124877,0.18
152,20210610,5465,5465,4928,4941,222439,0.05
153,20210611,4940,5090,4940,4978,83579,0.05
154,20210614,4928,5015,4928,4978,58331,0.06
155,20210615,5003,5115,4953,5003,121623,0.11
156,20210616,4990,5078,4903,4941,241367,0.16
157,20210617,4940,4965,4903,4928,98354,0.18
158,20210618,4928,4978,4928,4928,74912,0.23
159,20210621,4865,4928,4865,4916,144496,0.26
160,20210622,4878,4965,4878,4891,73569,0.26
161,20210623,4903,4915,4828,4841,192806,0.17
162,20210624,4840,4840,4765,4778,158887,0.14
163,20210625,4815,4828,4778,4778,90255,0.12
164,20210628,4803,4853,4803,4816,48965,0.11
165,20210629,4915,4940,4790,4853,170780,0.1
166,20210630,4853,4915,4790,4853,71099,0.11
167,20210701,4828,4865,4815,4853,67817,0.14
168,20210702,4878,4878,4828,4828,102731,0.17
169,20210705,4853,4890,4815,4853,111677,0.26
170,20210706,4828,4903,4828,4853,127167,0.34
171,20210707,4878,5028,4865,4916,253171,0.35
172,20210708,4965,4978,4790,4803,225521,0.21
173,20210709,4753,4828,4727,4741,145400,0.17
174,20210712,4778,4853,4753,4816,84462,0.21
175,20210713,4840,4865,4803,4866,100660,0.25
176,20210714,4865,4903,4815,4828,92725,0.28
177,20210715,4815,5090,4815,4916,374870,0.41
178,20210716,4940,4990,4865,4941,165699,0.35
179,20210719,4928,4953,4878,4916,72246,0.31
180,20210720,4890,5165,4865,5053,520086,0.34
181,20210721,5065,5140,5015,5053,213417,0.27
