,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20201030,18550,23000,18125,20550,4094842,0.05
1,20201102,21025,21325,19000,19750,660223,0.03
2,20201103,20100,21800,19650,21800,523761,0.06
3,20201104,21350,28300,21125,28300,1452561,0.03
4,20201105,32400,36750,31399,36750,1882363,0.03
5,20201106,36000,39400,31000,31000,2361888,0.09
6,20201109,32500,34850,30100,30500,345102,0.07
7,20201110,30550,30750,26300,28100,383110,0.05
8,20201111,27650,28550,26200,27250,161951,0.04
9,20201112,27750,29600,27250,28600,305537,0.05
10,20201113,27750,28850,26400,27050,144113,0.04
11,20201116,26400,28349,26300,27250,314907,0.04
12,20201117,26900,27000,25250,25650,128290,0.03
13,20201118,25650,26200,24725,25050,111588,0.02
14,20201119,24850,25450,24250,25250,94254,0.03
15,20201120,25400,25400,24774,24800,65948,0.03
16,20201123,24825,26750,24524,26050,185254,0.08
17,20201124,26400,27200,25649,25950,132707,0.09
18,20201125,26200,29100,26200,28900,612207,0.08
19,20201126,28600,30400,27250,27400,373829,0.08
20,20201127,27700,27850,25800,25950,135796,0.03
21,20201130,24975,25200,23950,24300,216068,0.03
22,20201201,24449,25350,24300,24750,120862,0.04
23,20201202,25150,25699,24525,24975,94744,0.04
24,20201203,24850,24975,24025,24050,76437,0.02
25,20201204,24275,24275,23050,23250,59044,0.01
26,20201207,23549,23950,23375,23825,38288,0.04
27,20201208,24000,24025,23025,23050,33448,0.01
28,20201209,23050,23475,22175,22675,38298,0.02
29,20201210,22400,23075,21975,22675,49011,0.03
30,20201211,22700,22900,22375,22725,26142,0.04
31,20201214,22950,22950,22175,22275,30246,0.03
32,20201215,22250,23150,22150,23050,44798,0.07
33,20201216,23100,23675,23025,23475,39732,0.01
34,20201217,23650,23675,23075,23525,36283,0.02
35,20201218,23699,23699,23125,23150,26306,0.02
36,20201221,23150,23150,22500,22500,30975,0.02
37,20201222,22500,22550,21975,21975,34300,0.02
38,20201223,22000,22400,21325,21800,31806,0.04
39,20201224,21800,22950,21500,22800,38626,0.02
40,20201228,23225,23675,22700,23300,74711,0.12
41,20201229,23500,24200,23325,23550,59958,0.12
42,20201230,23500,24625,23150,24400,126070,0.34
43,20210104,24975,25799,24625,25300,126604,0.26
44,20210105,25400,26849,24525,26350,189745,0.15
45,20210106,26300,26800,25500,26250,111140,0.09
46,20210107,27250,34100,27150,32600,1931139,0.22
47,20210108,32000,32050,28950,29150,454529,0.14
48,20210111,29000,29099,26650,27000,186700,0.06
49,20210112,26800,27550,25750,26200,115044,0.07
50,20210113,26150,27700,26150,27700,120262,0.08
51,20210114,27750,29100,26900,28000,150385,0.02
52,20210115,28000,28750,27650,27900,76893,0.05
53,20210118,27700,27750,25900,26150,60014,0.04
54,20210119,26300,27200,26000,26600,41147,0.03
55,20210120,26799,27150,26500,26750,30930,0.02
56,20210121,27249,28400,26900,27600,58265,0.03
57,20210122,27750,28100,27000,27800,42459,0.02
58,20210125,28150,28500,27550,28500,73210,0.05
59,20210126,28600,28600,27599,27650,50711,0.02
60,20210127,27700,28049,26000,26000,66218,0.06
61,20210128,25000,25600,24600,24850,48993,0.08
62,20210129,24875,25200,23450,23775,34244,0.1
63,20210201,22625,23325,22000,23000,123721,0.09
64,20210202,22975,24700,22600,24050,69638,0.14
65,20210203,25050,25150,24400,24975,72723,0.12
66,20210204,24850,26050,24525,25900,64165,0.12
67,20210205,25999,26400,25250,26050,35928,0.1
68,20210208,26100,27200,26100,26400,51446,0.08
69,20210209,26950,26950,25150,25550,34531,0.11
70,20210210,25450,25750,24325,25250,26166,0.15
71,20210215,25050,25300,24700,24750,34850,0.12
72,20210216,24625,25500,24625,24775,18240,0.12
73,20210217,24775,24950,24300,24675,16560,0.15
74,20210218,24950,25200,24474,24475,18793,0.11
75,20210219,24475,24500,23225,24150,37518,0.12
76,20210222,24200,24200,23425,23550,27355,0.14
77,20210223,23400,23800,23050,23475,14013,0.12
78,20210224,23150,23925,22750,22775,18129,0.11
79,20210225,22825,23425,22750,23050,27813,0.11
80,20210226,22475,22875,22100,22400,14116,0.14
81,20210302,22625,23450,22325,22550,16400,0.14
82,20210303,22375,22925,22375,22625,7556,0.14
83,20210304,22600,22700,22250,22475,9556,0.13
84,20210305,22150,22425,21825,22050,12797,0.12
85,20210308,22100,22425,21625,21625,11987,0.11
86,20210309,21625,22000,20475,20925,17166,0.12
87,20210310,21175,21350,20500,20750,6107,0.12
88,20210311,20750,21650,20500,21300,17280,0.14
89,20210312,21300,22275,21300,21950,14907,0.11
90,20210315,21925,22100,21575,21975,5528,0.1
91,20210316,22150,22150,21775,21850,8085,0.1
92,20210317,21875,22000,21350,21500,8015,0.08
93,20210318,21725,21725,21375,21500,5394,0.08
94,20210319,21400,21575,21100,21150,9900,0.08
95,20210322,21300,21300,20925,21150,8166,0.08
96,20210323,21150,21175,20825,20950,8194,0.08
97,20210324,20675,21150,20675,21075,4928,0.09
98,20210325,21075,21075,20800,20875,3939,0.08
99,20210326,20875,21000,20700,20900,8767,0.08
100,20210329,21550,23250,21550,22250,90302,0.13
101,20210330,22650,23875,22425,23550,63102,0.1
102,20210331,23800,24250,22250,22975,24016,0.08
103,20210401,22975,23750,22950,22950,13837,0.07
104,20210402,23250,23250,22025,22450,23917,0.05
105,20210405,22775,22800,21875,22050,31764,0.05
106,20210406,22250,22950,22200,22600,16241,0.06
107,20210407,22600,23400,22575,22900,24480,0.1
108,20210408,23150,23150,22550,22825,9568,0.07
109,20210409,22825,22900,22700,22825,6831,0.08
110,20210412,23150,23400,22925,23025,10991,0.07
111,20210413,22800,23325,22475,22525,24386,0.08
112,20210414,22525,22800,22250,22625,12928,0.08
113,20210415,22325,22650,22300,22625,7935,0.09
114,20210416,22850,23750,22675,23325,33863,0.23
115,20210419,23399,23750,23249,23575,20570,0.17
116,20210420,23700,24875,23700,24850,69443,0.21
117,20210421,25000,25100,24549,25050,45966,0.14
118,20210422,25250,26250,25050,25600,62706,0.2
119,20210423,26100,27050,25700,26750,85237,0.2
120,20210426,27250,27700,26500,27100,77529,0.07
121,20210427,29300,29500,26500,27850,252460,0.05
122,20210428,28000,28100,26250,26300,62131,0.01
123,20210429,26800,27200,25900,26000,56923,0.04
124,20210430,25950,25950,24649,24950,62574,0.02
125,20210503,25249,27000,25249,26000,53331,0.1
126,20210504,26150,26850,25550,26400,38043,0.09
127,20210506,26750,26850,26050,26150,41319,0.11
128,20210507,26150,26350,25750,26300,36558,0.14
129,20210510,26400,27000,26300,26950,79196,0.17
130,20210511,27750,28200,26600,26850,57253,0.16
131,20210512,27200,27200,25500,25900,26153,0.13
