,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20200716,21600,28050,21600,28050,8052066,0.47
1,20200717,30750,31450,24025,24025,12008912,0.09
2,20200720,22925,23250,21500,21500,3251094,0.13
3,20200721,22050,22275,21325,21400,1746884,0.13
4,20200722,21400,21650,20575,20625,1218828,0.13
5,20200723,20725,21250,19875,20575,1187256,0.28
6,20200724,20125,20400,19875,19925,758818,0.32
7,20200727,19625,20400,19300,19475,669020,0.31
8,20200728,19850,20175,19450,19550,597346,0.32
9,20200729,19850,20600,19525,20175,763358,0.34
10,20200730,20400,20425,19850,19850,391084,0.18
11,20200731,19750,20575,19600,20200,620960,0.16
12,20200803,20550,21200,20225,20950,1006850,0.1
13,20200804,20900,20900,20250,20300,641652,0.07
14,20200805,20300,20500,19900,20425,480168,0.08
15,20200806,20275,20575,20050,20125,411546,0.06
16,20200807,20125,20275,19900,19925,304990,0.06
17,20200810,19925,20500,19925,20250,395486,0.06
18,20200811,20325,20950,20050,20925,697516,0.13
19,20200812,20975,23825,20700,22225,5611954,0.08
20,20200813,22600,23600,21500,23300,2950358,0.1
21,20200814,23175,23200,21850,22450,1202960,0.14
22,20200818,22025,22125,19500,19750,1455048,0.32
23,20200819,19775,20150,18975,19150,836424,0.27
24,20200820,19100,19125,17025,17250,1097802,0.32
25,20200821,17475,18700,17250,18075,592146,0.32
26,20200824,17950,18150,16500,17675,345962,0.31
27,20200825,17475,18550,17475,18425,341112,0.32
28,20200826,18550,19450,18075,19400,587844,0.35
29,20200827,19875,20075,19125,19125,620130,0.17
30,20200828,19150,19600,19025,19025,300536,0.16
31,20200831,18850,19225,18700,18800,220884,0.17
32,20200901,18800,19200,18700,18725,175896,0.18
33,20200902,19000,19625,18800,19150,373472,0.37
34,20200903,19325,19600,19225,19525,259570,0.28
35,20200904,18525,19375,18350,19225,257958,0.24
36,20200907,19125,19575,18925,19425,253370,0.22
37,20200908,19625,19650,19150,19450,234832,0.23
38,20200909,18900,19275,18825,18875,201540,0.23
39,20200910,19175,19200,18750,18775,172964,0.23
40,20200911,18875,18875,18250,18400,166114,0.25
41,20200914,18675,19275,18450,19175,261704,0.34
42,20200915,19500,19975,19000,19700,610634,0.29
43,20200916,19850,20150,19575,19775,595092,0.25
44,20200917,19925,21050,19250,20500,1144068,0.35
45,20200918,20950,21475,20050,20750,1553344,0.31
46,20200921,20500,21300,20100,20500,786786,0.33
47,20200922,20825,21500,20100,21475,1593718,0.36
48,20200923,22050,22150,19850,20250,1273374,0.27
49,20200924,19250,19950,18225,18550,604968,0.25
50,20200925,18800,19125,18050,18600,286406,0.26
51,20200928,19000,19250,18775,19000,203908,0.25
52,20200929,19500,20625,19450,20025,463772,0.44
53,20201005,20100,20325,19825,20100,211126,0.25
54,20201006,20100,20450,19950,20200,214314,0.24
55,20201007,20150,20175,19875,20075,199572,0.24
56,20201008,20100,20175,19850,19925,189584,0.25
57,20201012,19700,19925,19275,19500,180278,0.26
58,20201013,19425,19700,19000,19075,172142,0.27
59,20201014,19000,19675,18950,19300,166388,0.3
60,20201015,19300,19300,18725,18775,138564,0.27
61,20201016,18475,18750,18000,18325,249638,0.27
62,20201019,18450,18450,17775,17850,97400,0.27
63,20201020,17625,18100,17350,17575,131702,0.27
64,20201021,17825,18200,17650,18050,111836,0.27
65,20201022,18100,18125,17625,17650,63584,0.25
66,20201023,17675,17900,17450,17675,81980,0.26
67,20201026,17850,17850,16775,16825,140936,0.25
68,20201027,16400,16925,15800,16325,167938,0.27
69,20201028,16450,16800,16250,16800,80242,0.27
70,20201029,16300,16700,16125,16475,125986,0.31
71,20201030,16625,17200,16225,16450,139258,0.29
72,20201102,16450,16725,16250,16550,60230,0.29
73,20201103,16750,17200,16700,17000,105968,0.28
74,20201104,17500,17700,17100,17125,112108,0.27
75,20201105,17375,18125,17200,18050,166088,0.28
76,20201106,18725,19250,18150,18425,451714,0.22
77,20201109,19125,19250,18800,19000,252920,0.26
78,20201110,19075,19100,17900,18625,133246,0.35
79,20201111,18325,18500,17950,18000,157080,0.25
80,20201112,18275,18275,17950,18150,78632,0.33
81,20201113,18025,18100,17600,17800,93192,0.25
82,20201116,17800,17800,17525,17575,112008,0.29
83,20201117,17600,17950,17500,17800,86152,0.33
84,20201118,17800,17950,17600,17700,116874,0.37
85,20201119,17675,17675,17300,17550,111394,0.28
86,20201120,17525,17750,17400,17550,85210,0.29
87,20201123,17900,18100,17625,17750,107624,0.28
88,20201124,17925,18425,17800,18350,216364,0.49
89,20201125,18600,18900,18050,18550,261072,0.33
90,20201126,18550,18550,18150,18525,106234,0.4
91,20201127,18525,18850,18375,18500,152944,0.4
92,20201130,18100,18125,17725,17900,237850,0.44
93,20201201,18025,18125,17650,18125,186992,0.34
94,20201202,17975,18150,17825,17850,122892,0.3
95,20201203,17800,17850,17400,17525,136302,0.32
96,20201204,17475,17825,17250,17300,173110,0.26
97,20201207,17300,17300,16900,16950,146450,0.28
98,20201208,17050,17350,16950,17125,111334,0.32
99,20201209,17125,17200,16925,17075,100564,0.3
100,20201210,17000,17225,16850,17150,89724,0.3
101,20201211,17200,17525,17125,17450,96436,0.29
102,20201214,17350,17400,17175,17275,89702,0.27
103,20201215,17275,17425,17000,17075,90260,0.29
104,20201216,17075,17400,16975,17275,115246,0.22
105,20201217,18825,18825,17825,17975,444454,0.23
106,20201218,18250,18275,17875,17875,211844,0.19
107,20201221,17675,18250,17425,17925,166338,0.22
108,20201222,17725,18150,17575,17575,138034,0.2
109,20201223,17575,19850,17375,18300,1430602,0.24
110,20201224,18675,18950,18100,18175,350168,0.22
