,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20191018,3453,4488,3453,4489,2385,0.0
1,20191021,5833,5833,5833,5833,1858,0.0
2,20191022,7574,7574,7574,7575,6563,0.0
3,20191023,9819,9819,9490,9819,89947,0.0
4,20191024,11221,12721,11125,12721,205643,0.0
5,20191025,14752,16494,14752,16494,38942,0.0
6,20191028,0,0,0,16494,0,0.0
7,20191029,21427,21427,13156,13834,974821,0.0
8,20191030,14075,17219,12430,15236,1116585,0.0
9,20191031,14801,17896,13350,13979,620535,0.0
10,20191101,14510,15236,13350,13592,169834,0.0
11,20191104,13543,13543,11898,12092,103828,0.0
12,20191105,11898,11947,10157,10303,122333,0.0
13,20191106,10157,11657,10012,10593,130653,0.0
14,20191107,10689,10786,9722,9819,47008,0.0
15,20191108,9867,11318,9673,10061,220864,0.0
16,20191111,10012,10447,9722,10061,84930,0.0
17,20191112,10205,10254,9673,10158,109586,0.0
18,20191113,10205,10447,9770,10158,124240,0.13
19,20191114,10205,10205,9915,10206,74335,0.09
20,20191115,10447,12382,10254,10496,911868,0.22
21,20191118,12624,12769,10738,11077,350891,0.09
22,20191119,10883,11076,10109,10641,170401,0.04
23,20191120,10883,11221,9867,10061,104331,0.04
24,20191121,9819,10109,9451,9490,48036,0.0
25,20191122,9354,9528,8706,8813,54909,0.0
26,20191125,8890,8929,8754,8794,19930,0.01
27,20191126,8774,8803,8425,8668,34410,0.03
28,20191127,8638,8832,8445,8445,23474,0.03
29,20191128,8667,8667,8164,8184,18860,0.02
30,20191129,8203,8261,7971,8039,10084,0.02
31,20191202,8029,8455,7671,7904,29625,0.04
32,20191203,8010,10254,7787,10254,408850,0.0
33,20191204,10786,11608,8803,8832,723115,0.09
34,20191205,8561,8706,7864,7933,115936,0.0
35,20191206,8010,10254,7855,8445,682370,0.15
36,20191209,9093,9257,8290,8407,113689,0.04
37,20191210,8445,10883,8445,9132,906068,0.5
38,20191211,9335,11221,9054,10545,1104170,0.11
39,20191212,10496,10738,9964,10013,212820,0.22
40,20191213,10641,11657,10205,11657,767760,0.0
41,20191216,12817,14946,12237,14704,2138358,0.0
42,20191217,13736,16300,13204,13350,1823761,0.09
43,20191218,13156,14317,12479,12479,542862,0.25
44,20191219,12817,13882,12430,13060,548535,0.11
45,20191220,12769,13156,11898,12044,206445,0.09
46,20191223,11802,11947,10931,11077,160103,0.04
47,20191224,10931,12963,10883,11754,966829,0.03
48,20191226,11560,12527,10931,11560,705928,0.18
49,20191227,11898,12576,11753,11754,394788,0.06
50,20191230,11947,12334,11705,11705,155052,0.15
51,20200102,11657,12237,11657,11802,111180,0.04
52,20200103,12140,12237,11463,11851,141745,0.0
53,20200106,11608,11608,11125,11270,59989,0.06
54,20200107,11415,11511,10883,11125,38009,0.11
55,20200108,11125,11125,9819,10109,124364,0.04
56,20200109,10544,11511,9964,10641,112737,0.09
57,20200110,10834,11608,10641,10786,183574,0.16
58,20200113,10883,10931,10254,10545,42634,0.18
59,20200114,10834,11898,10834,10980,250005,0.12
60,20200115,11173,11270,10883,10980,44208,0.22
61,20200116,11125,11125,10738,10883,44346,0.13
62,20200117,10931,10979,10641,10883,29120,0.11
63,20200120,10883,10931,10544,10738,30774,0.11
64,20200121,10931,11028,10447,10496,34573,0.11
65,20200122,10496,11173,10447,10738,101240,0.25
66,20200123,10689,10931,10447,10448,39707,0.2
67,20200128,10157,10205,9770,9916,31131,0.27
68,20200129,10109,10205,9770,9867,23055,0.26
69,20200130,9915,11270,9770,10061,285088,0.13
