,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20190807,63600,64800,63400,63500,1847,9.43
1,20190808,63000,63900,63000,63900,3282,9.42
2,20190809,65000,66000,64300,64600,2331,9.43
3,20190812,64000,65700,64000,65700,1929,9.43
4,20190813,65600,68600,64900,67500,7821,9.49
5,20190814,67500,68500,67100,67500,1676,9.47
6,20190816,67100,67800,65800,66200,5266,9.47
7,20190819,66400,67500,66100,67500,2330,9.48
8,20190820,67500,68000,67000,68000,1560,9.47
9,20190821,67800,68300,67200,67900,1567,9.45
10,20190822,67800,68200,67000,67400,1009,9.44
11,20190823,67900,68400,67000,68000,2900,9.43
12,20190826,67000,67500,66500,66800,1922,9.42
13,20190827,67500,67700,66600,67000,1290,9.39
14,20190828,67000,67600,66800,66900,7667,9.05
15,20190829,67700,67900,63000,64800,8296,8.92
16,20190830,65100,65300,64600,64700,3323,8.93
17,20190902,64200,65400,64200,65000,987,8.93
18,20190903,64600,65100,64600,64900,4782,8.91
19,20190904,65100,65200,64900,65100,1906,8.92
20,20190905,65100,65600,64900,65300,3931,8.94
21,20190906,65900,65900,64800,65400,1925,8.95
22,20190909,65500,66300,65000,65300,1558,8.95
23,20190910,65400,65900,65200,65600,725,8.95
24,20190911,66000,66300,65500,65900,1967,8.93
25,20190916,66500,66500,66100,66500,1338,8.93
26,20190917,67000,67000,66100,66700,2525,8.93
27,20190918,66800,68000,66100,67600,4694,8.91
28,20190919,68100,68700,67500,68100,4831,8.91
29,20190920,68100,68500,67500,67800,2841,8.91
30,20190923,68300,69500,67800,69000,5149,8.91
31,20190924,68100,69300,67700,69000,3097,8.91
32,20190925,68500,70800,68400,68700,6666,8.91
33,20190926,68700,69000,68000,68100,2917,8.81
34,20190927,68700,68700,67900,67900,721,8.81
35,20190930,67200,70000,67200,69100,2001,8.81
36,20191001,69100,69500,68600,69000,888,8.81
37,20191002,68300,69900,68200,68700,399,8.8
38,20191004,68500,69300,67800,68300,937,8.8
39,20191007,68100,69000,68000,68300,1350,8.8
40,20191008,68100,68900,68100,68500,330,8.8
41,20191010,68100,68400,68000,68200,822,8.8
42,20191011,68100,68500,68100,68300,1010,8.81
43,20191014,68100,69100,68100,68800,2368,8.81
44,20191015,68800,68800,68100,68800,995,8.81
45,20191016,68800,69200,68500,69200,1499,8.81
46,20191017,68600,69800,68600,69000,2628,8.83
47,20191018,69000,69200,68600,68600,717,8.81
48,20191021,68700,69100,68500,68500,497,8.79
49,20191022,68500,69100,68500,68600,1017,8.73
50,20191023,68600,69500,67900,68900,6478,8.58
51,20191024,68900,68900,67700,68400,1287,8.58
52,20191025,69000,69500,68400,69400,4342,8.57
53,20191028,69400,70200,69300,70200,2968,8.57
54,20191029,70200,70600,69700,70600,3753,8.57
55,20191030,70800,70800,69900,70400,1822,8.57
56,20191031,70800,71900,70600,71500,6377,8.49
57,20191101,71900,72800,70700,72800,4218,8.49
58,20191104,73000,75500,72000,75000,6806,8.5
59,20191105,74700,75500,74700,74800,5481,8.59
60,20191106,75500,76000,75000,75100,4636,8.59
61,20191107,75000,75000,73600,74500,5024,8.59
62,20191108,74000,75000,74000,74400,1536,8.58
63,20191111,74600,74600,73300,74100,2741,8.58
64,20191112,74100,74900,73700,74000,2231,8.58
65,20191113,74000,74500,73100,73500,2155,8.58
66,20191114,73700,74300,73300,73700,1069,8.58
67,20191115,73500,74500,73200,73900,2644,8.58
68,20191118,73900,74700,73800,74700,2489,8.69
69,20191119,74700,74900,73900,74100,1393,8.69
70,20191120,73300,74300,73300,73900,593,8.69
71,20191121,74300,74300,72800,73700,1436,8.69
72,20191122,73800,73800,73200,73300,489,8.69
73,20191125,72700,74000,72700,73900,959,8.69
74,20191126,74100,74500,73700,73700,517,8.69
75,20191127,74500,74500,73600,73700,548,8.69
76,20191128,73700,73700,73300,73300,344,8.69
