,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20201223,20000,26000,20000,26000,1088195,0.88
1,20201224,27550,33800,26200,31000,16818099,0.1
2,20201228,29350,32750,27050,27400,4112626,0.09
3,20201229,29450,33150,27550,29250,8083096,0.08
4,20201230,31900,38000,30750,38000,11297808,0.05
5,20210104,41050,43300,38100,39650,7424281,0.04
6,20210105,38750,44150,37400,41350,6173140,0.04
7,20210106,41500,43200,40300,41100,2493462,0.03
8,20210107,41500,42000,37900,38400,1304800,0.03
9,20210108,39300,40150,36000,36600,947738,0.03
10,20210111,35300,35500,31550,32950,985524,0.09
11,20210112,32200,33900,31200,31500,619977,0.07
12,20210113,31700,33000,31400,33000,449299,0.05
13,20210114,32000,32300,31200,32000,362703,0.1
14,20210115,32400,36700,31750,33100,2230846,0.06
15,20210118,33800,35450,32650,34000,934169,0.03
16,20210119,38200,42400,34000,34350,5517737,0.03
17,20210120,35200,35200,33200,33200,847594,0.04
18,20210121,33000,33600,32000,32100,431426,0.06
19,20210122,31850,32600,31600,31850,303203,0.06
20,20210125,31700,32500,31600,32500,313627,0.05
21,20210126,32250,32750,31900,32500,420844,0.08
22,20210127,35850,38350,32000,32000,2488739,0.05
23,20210128,30500,31700,30100,30450,444655,0.06
24,20210129,30450,30700,27450,28100,342720,0.13
25,20210201,27200,28300,26200,28300,242058,0.13
26,20210202,28200,28450,27150,27550,207223,0.16
27,20210203,28000,29350,27550,28600,264079,0.15
28,20210204,28300,28350,27300,27300,132142,0.15
29,20210205,27300,27650,26300,26400,183137,0.18
30,20210208,26500,27100,26350,26900,125313,0.13
31,20210209,26900,26900,26200,26200,111950,0.07
32,20210210,26000,27050,25550,26600,176393,0.11
33,20210215,26650,28600,26500,27400,313865,0.04
34,20210216,27000,27900,26700,27850,185608,0.08
35,20210217,28100,28200,26950,26950,120841,0.05
36,20210218,27100,27200,26200,26250,137081,0.15
37,20210219,26250,26400,25100,25700,114987,0.26
38,20210222,25900,26100,25350,26100,109905,0.3
39,20210223,26000,26000,24800,24900,119863,0.28
40,20210224,24600,25700,23750,23750,250327,0.27
41,20210225,24050,24200,23200,23750,106915,0.19
42,20210226,22900,23050,22300,22550,127405,0.18
43,20210302,22800,23000,21650,21750,87302,0.13
44,20210303,21700,24250,21450,22700,283760,0.07
45,20210304,22200,22650,21550,21900,86398,0.1
46,20210305,22200,23500,21750,23050,167334,0.05
47,20210308,23500,24350,22550,23500,153810,0.05
48,20210309,23150,23750,22550,23000,68411,0.05
49,20210310,23500,23500,22100,22100,64105,0.04
50,20210311,22550,22550,21700,21950,41267,0.05
51,20210312,22000,22550,21900,22200,55036,0.08
52,20210315,22400,22400,21750,22400,48442,0.08
53,20210316,22400,22450,22000,22150,39568,0.06
54,20210317,22200,22450,22100,22250,41071,0.08
