,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20190807,15800,16700,15800,16300,76501,3.79
1,20190808,16400,19950,16400,17650,454613,3.67
2,20190809,17600,17950,17400,17500,39802,3.43
3,20190812,17900,19000,17750,18050,126350,3.4
4,20190813,18100,18800,17950,18050,51130,3.4
5,20190814,18350,18600,17600,18400,40695,3.6
6,20190816,18050,18650,18000,18200,28022,3.62
7,20190819,18450,18450,17850,18050,21143,3.61
8,20190820,18050,18800,17850,18650,46541,3.61
9,20190821,18650,18800,18350,18750,15208,3.61
10,20190822,18850,18950,18500,18600,15974,3.68
11,20190823,18750,18900,18450,18500,19314,3.66
12,20190826,18000,18200,17400,17700,22728,3.67
13,20190827,17850,18200,17600,17600,17095,3.69
14,20190828,17550,18000,17450,17900,20122,3.69
15,20190829,18000,18750,17850,18350,26188,3.7
16,20190830,18950,19350,18500,19300,35719,3.77
17,20190902,19500,19500,18850,18850,20037,3.76
18,20190903,18900,19900,18850,19450,57490,3.85
19,20190904,19300,19600,19250,19350,27498,3.84
20,20190905,19550,19700,19150,19250,25569,3.81
21,20190906,19400,19500,19150,19150,11126,3.8
22,20190909,19100,19450,19050,19100,19349,3.82
23,20190910,19050,19100,18700,18850,22442,3.86
24,20190911,19050,19450,18700,19300,34689,3.93
25,20190916,19400,20300,19400,20100,42294,4.02
26,20190917,20250,20250,19550,20000,21105,4.0
27,20190918,19900,20100,19700,19800,18352,4.0
28,20190919,19950,20050,19550,19650,12686,4.0
29,20190920,19700,19850,19250,19450,19905,4.01
30,20190923,19450,19500,19050,19100,12454,4.04
31,20190924,19200,19800,19050,19550,22469,4.05
32,20190925,19450,19500,18750,18850,21816,4.03
33,20190926,19250,19250,18500,18600,13689,4.02
34,20190927,18700,19450,18700,18950,23677,4.02
35,20190930,18700,19000,18250,18600,21336,3.99
36,20191001,18400,18750,18400,18750,8083,3.99
37,20191002,18800,18800,18250,18250,10499,3.97
38,20191004,18050,18400,18050,18200,8959,3.99
39,20191007,17900,18250,17850,18000,10435,3.99
40,20191008,18100,18750,18100,18400,15128,4.0
41,20191010,18400,18450,18000,18150,10028,4.01
42,20191011,18250,18800,18250,18700,18866,4.01
43,20191014,19000,19600,18850,19300,35183,4.05
44,20191015,19150,19600,19150,19550,16501,4.08
45,20191016,19550,20150,19550,19950,26653,4.12
46,20191017,19850,20050,19650,19850,9995,4.11
47,20191018,19750,19900,19450,19550,18154,4.12
48,20191021,19550,19550,18650,18850,22917,4.06
49,20191022,19250,19250,18650,19000,15807,4.05
50,20191023,18850,19150,18650,18750,18316,4.07
51,20191024,18550,18900,18200,18400,15915,4.06
52,20191025,18400,18500,18250,18450,12026,4.07
53,20191028,18700,18700,18200,18400,15961,4.04
54,20191029,18400,19000,18350,18500,21446,4.05
55,20191030,18500,19600,18500,19550,52494,4.07
56,20191031,19550,21000,19550,20400,109998,4.18
57,20191101,20300,20650,19800,20500,37784,4.15
58,20191104,20650,21000,20400,20400,20117,4.14
59,20191105,20500,20850,20200,20500,16177,4.19
60,20191106,20750,21450,20550,21050,55232,4.2
61,20191107,21250,21250,20350,20750,31610,4.2
62,20191108,21200,21400,20200,20250,44121,4.13
63,20191111,20150,20300,19700,20300,20843,4.15
64,20191112,20300,20350,19800,19900,11179,4.13
65,20191113,19750,20150,19350,19400,19016,4.1
66,20191114,19400,19450,18900,19300,26447,4.05
67,20191115,19200,19200,18500,18700,35259,4.0
68,20191118,18800,18800,18450,18500,30848,3.92
69,20191119,18450,18650,18250,18350,26974,3.89
70,20191120,18250,18450,17850,18000,29290,3.84
71,20191121,18000,18250,17450,17450,32807,3.82
72,20191122,17400,17850,17400,17500,14070,3.8
73,20191125,17950,18000,17650,17850,20620,3.75
74,20191126,18150,18150,17750,17750,92655,3.76
75,20191127,18100,18200,17800,17950,15665,3.75
76,20191128,17800,18250,17750,18000,19182,3.74
77,20191129,18650,19800,18400,18400,300706,3.55
78,20191202,18500,18650,18100,18300,36442,3.53
79,20191203,18300,18300,17750,17800,32796,3.47
80,20191204,17700,17900,17500,17600,27835,3.45
81,20191205,17500,17850,17050,17100,41159,3.43
82,20191206,17000,17350,17000,17300,14354,3.45
83,20191209,17200,17600,17200,17300,12917,3.44
84,20191210,17200,17450,17050,17400,26667,3.42
85,20191211,17550,17750,17350,17400,23906,3.42
86,20191212,17450,17750,17400,17550,9500,3.42
87,20191213,17900,18900,17750,18200,97773,3.47
88,20191216,18200,18200,17900,18200,14383,3.47
89,20191217,18200,18650,18000,18400,37297,3.57
90,20191218,18650,18700,18200,18350,9831,3.56
91,20191219,18250,18650,18250,18600,14512,3.55
92,20191220,18550,19350,18500,19100,82444,3.55
93,20191223,19300,19750,18900,19300,78021,3.69
94,20191224,19500,19700,18700,18850,37927,3.64
95,20191226,19300,19700,19000,19200,33796,3.62
96,20191227,19000,19600,19000,19250,22827,3.63
97,20191230,19500,19500,19200,19300,12118,3.63
98,20200102,19500,20100,19300,20050,39837,3.67
99,20200103,20300,20650,19700,19950,62199,3.69
100,20200106,19600,19850,19200,19300,23560,3.69
101,20200107,19550,20100,19450,19950,29373,3.7
102,20200108,19700,19900,18750,19250,31899,3.69
103,20200109,19750,20350,19700,20250,50436,3.74
104,20200110,20300,20650,20000,20250,44225,3.73
105,20200113,20300,22300,20300,21250,324170,3.83
106,20200114,21500,22100,21000,21250,86235,3.84
107,20200115,21250,21550,21050,21350,32088,3.85
108,20200116,21750,21750,21250,21600,23364,3.82
109,20200117,21700,21700,21150,21250,22613,3.82
110,20200120,21500,21600,20400,20700,49445,3.8
111,20200121,20400,20700,19900,20150,44922,3.81
112,20200122,20150,20450,20000,20200,25238,3.78
113,20200123,20100,20100,19350,19800,29274,3.76
114,20200128,18200,18800,17800,18100,68562,3.73
115,20200129,18300,18450,17800,18100,31294,3.72
116,20200130,18000,18050,17400,17750,34647,3.73
117,20200131,17700,18250,17500,17650,22184,3.72
