,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20190807,9380,10100,9380,9900,210473,42.65
1,20190808,10200,10550,10050,10550,15528,42.68
2,20190809,10550,10650,10350,10600,8032,42.68
3,20190812,10600,10650,10350,10600,6797,42.67
4,20190813,10400,10600,10350,10500,7439,42.67
5,20190814,10600,10800,10450,10600,13199,42.68
6,20190816,10350,10550,10200,10550,7929,42.68
7,20190819,10450,10650,10450,10600,5893,42.69
8,20190820,10500,10950,10500,10950,5724,42.69
9,20190821,11000,11100,10900,11050,4511,42.72
10,20190822,11150,11150,10850,11000,3201,42.71
11,20190823,10800,11000,10650,10850,6085,42.7
12,20190826,10700,10750,10350,10500,9734,42.69
13,20190827,10500,10650,10350,10550,6354,42.69
14,20190828,10600,10750,10450,10650,3313,42.68
15,20190829,10650,10750,10500,10500,1403,42.68
16,20190830,10650,10900,10500,10850,3660,42.68
17,20190902,10950,11000,10700,10800,5845,42.66
18,20190903,10900,10950,10800,10850,4982,42.69
19,20190904,10750,10950,10750,10950,2547,42.69
20,20190905,10900,11150,10850,11000,5095,42.68
21,20190906,11000,11100,10800,10800,2788,42.68
22,20190909,10950,11200,10700,10900,8731,42.68
23,20190910,10800,11100,10800,11100,10300,42.79
24,20190911,11200,11350,11000,11250,7687,42.8
25,20190916,11250,11600,11200,11500,4081,42.79
26,20190917,11500,11550,11400,11550,2667,42.79
27,20190918,11550,12000,11450,11700,25888,42.75
28,20190919,11800,13950,11700,12950,494374,42.66
29,20190920,12850,13000,12550,12700,69323,42.66
30,20190923,12500,13050,12500,12800,43574,42.66
31,20190924,12650,13100,12500,12700,33422,42.65
32,20190925,12700,12700,12250,12500,23982,42.66
33,20190926,12450,12500,12300,12300,8274,42.66
34,20190927,12150,12650,12050,12350,12936,42.65
35,20190930,12350,12700,12150,12500,15263,42.65
36,20191001,12350,12650,12350,12650,5122,42.65
37,20191002,12650,12650,12200,12450,20490,42.48
38,20191004,12400,12550,12250,12350,4264,42.47
39,20191007,12300,12450,12000,12200,7390,42.47
40,20191008,12050,12200,11750,11750,14124,42.49
41,20191010,11750,12100,11750,12050,2050,42.49
42,20191011,12100,12100,11900,11950,3446,42.49
43,20191014,11900,12050,11800,11950,6815,42.49
44,20191015,11900,12100,11900,12000,1319,42.49
45,20191016,12050,12300,12000,12250,2675,42.5
46,20191017,12300,12300,12150,12250,2891,42.49
47,20191018,12050,12200,11850,11900,5344,42.49
48,20191021,11850,12000,11600,11700,7164,42.48
49,20191022,11700,12000,11600,11700,11112,42.49
50,20191023,11850,11850,11250,11600,19541,42.5
51,20191024,11600,11700,11500,11650,4905,42.5
52,20191025,11500,11850,11500,11700,10846,42.5
53,20191028,11600,11700,11200,11450,29686,42.5
54,20191029,11300,11450,11250,11350,25010,42.37
55,20191030,11450,11500,11300,11500,3564,42.37
56,20191031,11550,11600,11400,11600,2542,42.37
57,20191101,11600,12050,11200,11300,27089,42.38
58,20191104,11450,11500,11350,11500,4886,42.38
59,20191105,11550,11950,11400,11700,10664,42.4
60,20191106,11700,12100,11700,11950,9888,42.4
61,20191107,12000,12100,11850,11850,4642,42.4
62,20191108,11850,12100,11850,11850,3249,42.4
63,20191111,11850,12150,11800,12000,9560,42.39
64,20191112,12000,12100,11800,11900,6221,42.39
65,20191113,12000,12000,11750,11850,5885,42.39
66,20191114,12100,12250,11850,11900,11770,42.39
67,20191115,11850,12000,11750,11850,4481,42.38
68,20191118,11750,11850,11250,11400,21883,42.39
69,20191119,11400,11400,11200,11300,8352,42.38
70,20191120,11300,11300,10650,10700,36011,42.4
71,20191121,10800,10850,10150,10600,21746,42.42
72,20191122,10650,10900,10450,10850,5670,42.42
73,20191125,10850,11000,10800,11000,4325,42.42
74,20191126,10850,11050,10550,11000,11589,42.41
75,20191127,11000,11000,10700,10800,14512,42.42
76,20191128,10800,11000,10750,10950,3569,42.42
77,20191129,10950,11100,10900,10950,9220,42.43
78,20191202,10850,11000,10800,10950,3254,42.43
79,20191203,10950,10950,10600,10750,4408,42.43
80,20191204,10750,10750,10500,10550,7831,42.43
81,20191205,10550,10650,10450,10550,6438,42.43
82,20191206,10450,10600,10350,10600,16718,42.43
83,20191209,10650,10650,10150,10450,20757,42.44
84,20191210,10500,10500,10250,10450,8313,42.44
85,20191211,10450,10650,10400,10600,2582,42.45
86,20191212,10700,11200,10450,11000,12164,42.46
87,20191213,11000,11150,10750,11050,8893,42.45
88,20191216,11050,11100,10750,11000,9775,42.45
89,20191217,11100,11150,11000,11050,19113,42.45
90,20191218,10900,11050,10850,10900,3276,42.45
91,20191219,10900,11100,10700,10900,5215,42.46
92,20191220,10950,11000,10750,10950,2581,42.46
93,20191223,11000,11100,10850,11100,2612,42.46
94,20191224,11100,11300,10900,11250,9206,42.45
