,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20190807,6090,6190,6090,6180,77152,5.34
1,20190808,7500,7550,6240,6320,1802258,5.26
2,20190809,6320,6430,6100,6160,165716,5.27
3,20190812,6160,6250,5990,6100,96093,5.26
4,20190813,6050,6260,6050,6190,87434,5.27
5,20190814,6280,6330,6170,6220,67186,5.25
6,20190816,6160,6180,6030,6100,80084,5.2
7,20190819,6100,6380,6100,6350,105299,5.3
8,20190820,6460,6490,6290,6450,67851,5.31
9,20190821,6470,6650,6360,6630,79401,5.37
10,20190822,6660,6750,6520,6730,69156,5.35
11,20190823,6610,6750,6610,6700,37631,5.4
12,20190826,6610,6610,6470,6470,21297,5.4
13,20190827,6510,6650,6500,6520,67302,5.5
14,20190828,6570,6630,6430,6590,25535,5.49
15,20190829,6630,6700,6560,6690,31980,5.55
16,20190830,6720,6770,6640,6760,18636,5.54
17,20190902,6820,6890,6710,6820,20382,5.57
18,20190903,6820,6870,6720,6730,13036,5.57
19,20190904,6730,6790,6690,6690,9091,5.57
20,20190905,6750,6780,6690,6750,27111,5.6
21,20190906,6750,6780,6680,6750,19004,5.57
22,20190909,6720,6790,6720,6790,13345,5.56
23,20190910,6790,6790,6660,6760,19966,5.54
24,20190911,6770,6780,6710,6720,9858,5.53
25,20190916,6720,6780,6710,6770,20745,5.52
26,20190917,6710,6890,6710,6880,17354,5.52
27,20190918,6900,6960,6860,6880,40621,5.49
28,20190919,6920,6960,6850,6880,17022,5.48
29,20190920,6830,6930,6800,6850,22799,5.46
30,20190923,6820,6890,6750,6860,10120,5.46
31,20190924,6860,6900,6810,6890,9961,5.44
32,20190925,6890,6900,6700,6710,9998,5.44
33,20190926,6710,6790,6680,6710,10336,5.43
34,20190927,6740,6810,6640,6800,35756,5.42
35,20190930,6850,7140,6810,7080,84103,5.4
36,20191001,6960,7150,6900,7100,52718,5.39
37,20191002,7090,7100,6920,6930,18711,5.38
38,20191004,6890,6960,6640,6750,33293,5.37
39,20191007,6720,6840,6720,6830,23182,5.36
40,20191008,6790,6820,6730,6780,10485,5.35
41,20191010,6780,6790,6620,6730,11790,5.34
42,20191011,6700,6740,6650,6690,17011,5.33
43,20191014,6670,6850,6670,6830,17845,5.31
44,20191015,6820,6960,6800,6930,10673,5.31
45,20191016,6870,6930,6860,6920,7467,5.3
46,20191017,6940,7070,6850,7040,19303,5.29
47,20191018,7040,7080,6960,7030,14835,5.28
48,20191021,7030,7040,6890,6930,41060,5.29
49,20191022,6900,6950,6850,6920,25985,5.27
50,20191023,6910,6910,6790,6860,9638,5.26
51,20191024,6810,6880,6710,6730,15501,5.25
52,20191025,6710,6780,6710,6730,6534,5.25
53,20191028,6730,6780,6620,6620,14446,5.23
54,20191029,6620,6680,6450,6590,24618,5.21
55,20191030,6560,6700,6550,6600,16754,5.2
56,20191031,6630,6700,6590,6640,10868,5.19
57,20191101,6640,6660,6560,6620,6285,5.18
58,20191104,6620,6710,6620,6700,3761,5.18
59,20191105,6670,6800,6670,6800,12707,5.17
60,20191106,6800,6840,6700,6770,14889,5.15
61,20191107,6770,6880,6740,6780,29601,5.15
62,20191108,6820,6850,6710,6730,11848,5.15
63,20191111,6740,6840,6740,6830,16904,5.15
64,20191112,6840,6960,6820,6940,25171,5.14
65,20191113,6970,7050,6940,7020,27941,5.14
