,날짜,시가,고가,저가,종가,거래량,외국인소진율
0,20190807,5770,5900,5420,5530,1852036,0.26
1,20190808,5590,5740,5450,5690,873767,0.48
2,20190809,5700,5820,5540,5570,978211,0.64
3,20190812,5540,5640,5240,5240,740371,0.67
4,20190813,5340,5370,5210,5230,396389,0.67
5,20190814,5270,5340,5190,5260,349199,0.66
6,20190816,5180,5240,5030,5090,362973,0.61
7,20190819,5090,5200,5070,5190,295988,0.62
8,20190820,5200,5270,5160,5250,307896,0.63
9,20190821,5460,5500,5260,5290,832294,0.52
10,20190822,5380,5430,5290,5330,369456,0.84
11,20190823,5390,5460,5300,5380,292930,0.84
12,20190826,5220,5290,5180,5180,254715,0.89
13,20190827,5190,5260,5140,5160,197636,1.05
14,20190828,5180,5240,5140,5220,157622,1.12
15,20190829,5220,5250,5110,5110,171958,1.0
16,20190830,5150,5180,5100,5150,147929,1.02
17,20190902,5140,5200,5140,5200,128671,1.09
18,20190903,5210,5290,5170,5190,176741,1.15
19,20190904,5150,5240,5150,5220,186071,1.23
20,20190905,5230,5250,5190,5200,133321,1.28
21,20190906,5260,5270,5190,5190,112179,1.22
22,20190909,5160,5280,5150,5230,137009,1.26
23,20190910,5200,5240,5180,5210,109893,1.36
24,20190911,5210,5340,5210,5270,165742,1.47
25,20190916,5270,5340,5240,5300,108465,1.49
26,20190917,5280,5400,5250,5350,112490,1.47
27,20190918,5380,5390,5290,5300,117929,1.46
28,20190919,5300,5360,5290,5330,80806,1.5
29,20190920,5380,5380,5300,5350,95509,1.56
30,20190923,5320,5370,5270,5290,86054,1.57
31,20190924,5290,5350,5270,5300,52445,1.58
32,20190925,5270,5310,5130,5160,174351,1.53
33,20190926,5180,5250,5060,5110,124990,1.5
34,20190927,5080,5120,5060,5060,69000,1.47
35,20190930,5020,5050,4860,4905,246321,1.33
36,20191001,4905,4965,4870,4925,78843,1.3
37,20191002,4880,4925,4805,4815,138325,1.29
38,20191004,4805,4845,4675,4710,129740,1.28
39,20191007,4710,4735,4610,4650,99323,1.25
40,20191008,4615,4725,4615,4715,67875,1.27
41,20191010,4710,4750,4655,4695,37857,1.24
42,20191011,4670,4760,4655,4695,51405,1.24
43,20191014,4710,4825,4710,4795,90925,1.26
44,20191015,4825,4890,4755,4845,74807,1.23
45,20191016,4895,4915,4845,4850,69500,1.23
46,20191017,4905,4910,4850,4870,31261,1.23
47,20191018,4875,4890,4840,4840,44064,1.22
48,20191021,4810,4840,4710,4740,49034,1.21
49,20191022,4725,4775,4690,4760,50860,1.22
50,20191023,4710,4765,4685,4710,64565,1.24
51,20191024,4695,4780,4665,4705,81282,1.21
52,20191025,4680,4725,4655,4685,34223,1.23
53,20191028,4690,4830,4690,4810,58080,1.24
54,20191029,4805,4855,4780,4815,43258,1.21
55,20191030,4845,4850,4735,4790,71859,1.25
56,20191031,4840,4840,4705,4720,73022,1.25
57,20191101,4705,4730,4685,4700,28624,1.2
58,20191104,4740,4780,4710,4755,31900,1.28
59,20191105,4760,4825,4735,4815,45534,1.31
60,20191106,4860,4860,4805,4860,46853,1.31
61,20191107,4815,4945,4815,4860,55838,1.3
62,20191108,4700,4700,4520,4635,308125,1.18
63,20191111,4635,4650,4560,4570,83801,1.16
64,20191112,4560,4640,4560,4625,47597,1.16
65,20191113,4640,4645,4575,4585,35100,1.16
66,20191114,4590,4625,4565,4600,47843,1.18
67,20191115,4600,4620,4585,4605,12639,1.17
68,20191118,4610,4620,4570,4605,61412,1.12
69,20191119,4575,4625,4540,4565,34957,1.11
70,20191120,4555,4605,4460,4460,98052,0.97
71,20191121,4420,4490,4310,4310,84211,0.96
72,20191122,4300,4400,4300,4310,36018,0.96
73,20191125,4310,4470,4310,4345,59719,0.96
74,20191126,4350,4430,4345,4420,43638,0.98
75,20191127,4420,4435,4365,4390,20970,0.98
76,20191128,4410,4410,4375,4380,14510,0.97
77,20191129,4340,4430,4340,4370,14144,0.97
78,20191202,4335,4385,4330,4370,25630,0.96
79,20191203,4370,4435,4325,4370,22919,0.95
80,20191204,4380,4380,4290,4305,33245,0.97
81,20191205,4350,4350,4190,4190,72549,0.97
82,20191206,4170,4265,4170,4195,40506,1.0
83,20191209,4270,4270,4200,4240,22859,1.01
84,20191210,4295,4295,4225,4225,33122,1.0
85,20191211,4295,4295,4235,4270,27095,1.0
86,20191212,4255,4330,4255,4310,23710,0.99
87,20191213,4320,4465,4320,4420,42155,1.01
